name, dist, ra, dec, type, magG, magG_err, magI, magI_err, g-i, gi_err, re, re_err, mue, mue_err, star mask, DTRGB, cz, Other names

NGC5229    , 8.6, 13:34:03.0, 47:54:49.8, dI, 13.73, 0.01, 13.33, 0.01, 0.4, 0.01, 37.0, 0.1, 21.93, 0.01, N, 5.13a(b), 364(a)

dw1255+2130, 5.3, 12:55:33.6, 21:30:35.3, dE, 20.37, 0.06, 19.81, 0.06, 0.56, 0.03, 5.3, 0.4, 25.54, 0.1, N

dw1237-1125, 9.55, 12:37:11.6, -11:25:59.3, dE, 18.28, 0.06, 17.28, 0.24, 0.99, 0.23, 10.0, 0.4, 24.59, 0.24, N
dw1237-1110, 9.55, 12:37:42.0, -11:10:08.5, dI, 18.84, 0.11, 18.21, 0.09, 0.63, 0.03, 5.8, 0.6, 24.04, 0.17, N
dw1238-1208, 9.55, 12:38:22.2, -12:08:08.1, dE, 22.63, 0.15, 22.02, 0.22, 0.61, 0.37, 3.4, 0.2, 27.04, 0.31, N
dw1238-1116, 9.55, 12:38:31.1, -11:16:25.5, dE, 21.07, 0.34, 20.67, 0.36, 0.4, 0.2, 5.8, 1.1, 26.6, 0.27, N
dw1238-1122, 9.55, 12:38:33.7, -11:22:05.1, dE, 17.6, , 16.8, , 0.84, , 14.0, , 24.7, , Y
dw1238-1102, 9.55, 12:38:58.3, -11:02:09.6, dE, 20.73, 0.25, 20.23, 0.28, 0.5, 0.16, 5.2, 0.6, 26.16, 0.15, N
dw1239-1152, 9.55, 12:39:09.0, -11:52:36.6, dE, 21.81, 0.22, 21.33, 0.23, 0.49, 0.1, 4.9, 0.7, 26.37, 0.19, N
dw1239-1159, 9.55, 12:39:09.1, -11:59:12.2, dE, 18.9, 0.22, 18.39, 0.22, 0.52, 0.08, 14.1, 2.5, 26.67, 0.24, N
dw1239-1143, 9.55, 12:39:15.3, -11:43:08.1, dE_N, 16.52, 0.03, 15.71, 0.02, 0.8, 0.01, 12.5, 0.3, 23.37, 0.03, N,
dw1239-1154, 9.55, 12:39:22.4, -11:54:23.9, dE, 21.43, 0.45, 20.7, 0.4, 0.73, 0.18, 8.3, 1.3, 27.18, 0.26, N
dw1239-1113, 9.55, 12:39:32.7, -11:13:36.0, dE, 18.0, 0.27, 17.16, 0.28, 0.84, 0.13, 17.3, 2.6, 25.89, 0.19, N
dw1239-1118, 9.55, 12:39:37.4, -11:18:33.1, dE, 21.59, 0.13, 21.01, 0.15, 0.58, 0.1, 4.0, 0.4, 26.25, 0.19, N
dw1239-1106, 9.55, 12:39:41.9, -11:06:00.4, dE, 20.88, 0.18, 20.27, 0.17, 0.61, 0.09, 5.9, 0.9, 26.18, 0.18, N
dw1239-1120, 9.55, 12:39:51.5, -11:20:28.7, dE, 19.41, 0.1, 18.82, 0.1, 0.59, 0.03, 7.0, 0.6, 25.43, 0.1, N
dw1239-1144, 9.55, 12:39:54.9, -11:44:45.5, dE, 17.33, 0.29, 16.63, 0.26, 0.7, 0.14, 22.4, 4.5, 25.56, 0.13, N
dw1240-1118, 9.55, 12:40:09.4, -11:18:49.8, dE_N, 15.9, 0.03, 15.09, 0.03, 0.81, 0.01, 15.1, 0.4, 23.58, 0.04, N
dw1240-1140, 9.55, 12:40:17.6, -11:40:45.7, dE_N, 19.26, 0.46, 18.32, 0.48, 0.94, 0.06, 13.1, 2.8, 26.42, 0.17, N
dw1240-1155, 9.55, 12:40:59.5, -11:55:48.0, dI, 18.76, 0.04, 18.58, 0.05, 0.17, 0.02, 4.7, 0.2, 23.54, 0.06, N
dw1241-1131, 9.55, 12:41:02.8, -11:31:43.7, dE_N, 19.78, 0.17, 18.97, 0.24, 0.8, 0.11, 9.1, 0.9, 26.12, 0.15, Y
dw1241-1210, 9.55, 12:41:03.2, -12:10:46.6, dI, 19.41, 0.05, 19.36, 0.05, 0.06, 0.04, 4.2, 0.2, 24.99, 0.1, N
dw1241-1123, 9.55, 12:41:09.5,11:23:55.3, dE?, 21.08, 0.38, 20.28, 0.36, 0.8, 0.09, 12.2, 2.5, 28.34, 0.19, N
dw1241-1105, 9.55, 12:41:10.2, -11:05:50.0, dE, 21.89, 0.11, 20.9, 0.14, 0.99, 0.06, 2.3, 0.2, 25.16, 0.14, N
dw1241-1153, 9.55, 12:41:12.1, -11:53:29.7, dE_N, 18.33, 0.22, 17.61, 0.19, 0.72, 0.06, 15.3, 2.3, 25.82, 0.17, N
dw1241-1155, 9.55, 12:41:18.7, -11:55:30.8, dE_N, 17.48, 0.11, 16.73, 0.13, 0.75, 0.06, 17.0, 1.2, 25.12, 0.1, N
dw1242-1116, 9.55, 12:42:43.8, -11:16:26.0, dE_N, 18.09, 0.22, 17.51, 0.17, 0.58, 0.07, 24.4, 4.6, 26.67, 0.21, N
dw1242-1129, 9.55, 12:42:49.6, -11:29:21.5, dE/dI, 21.08, 0.23, 20.35, 0.24, 0.73, 0.13, 3.3, 0.5, 25.21, 0.24, N
dw1243-1137, 9.55, 12:43:18.0, -11:37:33.0, dE, 21.56, 0.19, 20.53, 0.13, 1.03, 0.07, 4.4, 0.8, 25.86, 0.29, N
